id,title,location,colors,focus_key,focus_label,duration,description,summary,extra,optional
pyramiden-training,Pyramiden Training,Kletterhalle,gelb,,,45+ min,Startend bei 2/3 Grad unter Rotpunktniveau wird die Schwierigkeit immer weiter erhöht. Bei Sturz sofort ablassen; eine Schwierigkeit so lange wiederholen bis sie geschafft ist. Ziel: möglichst hohe Schwierigkeit erreichen. Aufwärmen kann integriert werden.,Schwierigkeit Route für Route steigern bis zum Maximum – bei Sturz sofort ablassen und wiederholen.,Chalkbeutel bleibt unten,false
leichte-routen-spulen,Leichte Routen spulen,Kletterhalle,grün,,,60+ min,"Jedes Kind klettert 2 Routen (2/3 Grad unter Onsightniveau) dreimal – insgesamt 6-mal. Beim Wechsel max. 1 Minute Pause. Im Vorstieg möglich; ggf. erstes Mal vorsteigen, dann zweimal nachsteigen ohne umzubinden.","Zwei leichte Routen je dreimal zügig klettern, nur kurze Wechselpausen – lockeres Volumen.",Chalkbeutel bleibt unten · möglichst schnell klettern,false
alle-routen-an-einem-seil,Alle Routen an einem Seil,Kletterhalle,grün|gelb,,,30+ min,"Alle Routen an einem Seil klettern (mind. 3 Routen). Bei Sturz direkt ablassen, keine Pause zwischen den Routen. Kinder überlegen selbst die beste Reihenfolge – taktischer Aspekt.",Mehrere Routen ohne Pause an einem Seil klettern; Reihenfolge taktisch selbst wählen.,,false
boulderhalle-traversieren,Boulderhalle traversieren,Boulderhalle,grün,,,20+ min,Nur bei relativ leerer Halle! Möglichst langen Abschnitt traversieren (z. B. um die Mittelinsel) ohne Bodenkontakt. Bei anderen Kletterern in der Wand warten. Kinder auf verschiedene Stellen aufteilen.,Möglichst lange ohne Bodenkontakt quer durch die Halle traversieren (nur bei leerer Halle).,Füße leise setzen · Hände/Füße nur einmal setzen (Position nicht verbessern),false
tschechentraining,Tschechentraining,Kletterhalle,gelb,,,,"Route auf Onsightniveau einmal klettern, dann schnell ablassen und sofort wieder einsteigen. So lange wiederholen bis das Kind stürzt. Route durchgehend ähnlich schwer. Mind. 3 Routen pro Person. Nur im Vorstieg.","Route auf Onsightniveau immer wieder klettern und sofort neu einsteigen, bis zum Sturz.",,false
4-4,4×4,Boulderhalle,gelb,,,,"4 definierte Boulder ohne Pause nacheinander klettern. Nach jedem Top direkt zum nächsten. Danach 2,5–4 min Pause (unvollständige Erholung). 4-mal wiederholen = 16 Boulder gesamt. Boulder schwierig, aber 4 hintereinander gerade noch machbar.","Vier Boulder ohne Pause nacheinander, dann kurze Pause – viermal wiederholen (16 Boulder).",,false
projekte-finden-ausbouldern,Projekte finden / ausbouldern,Kletterhalle,rot,,,,"Kinder finden neue Projekte: Routen über dem aktuellen Rotpunktlevel, aber realistisch. Diese ausbouldern, so dass möglichst jeder Zug einmal geschafft wird. Pausen erlaubt. Falls Route zu schwer/leicht – Auswahl ändern.","Neue, knapp zu schwere Projekte suchen und Zug für Zug ausbouldern.",,false
projektieren,Projektieren,Kletterhalle,gelb|rot,,,,"Gute Versuche in Projekten machen (bereits ausgebouldert oder knapp über Flashniveau). Beim ersten Sturz ablassen – kein Ausbouldern, Fokus auf Versuchen. Mehrere Versuche mit genug Pause. Kinder über Fehler sprechen lassen.","Gute Versuche in Projekten machen; beim ersten Sturz ablassen, Fokus aufs Probieren.",,false
onsight-training,Onsight Training,Kletterhalle,gelb,fluessiger-klettern,Flüssiger Klettern,,"Neue Routen (Onsight- bis Rotpunktgrad) werden geonsightet. Kinder setzen sich vor dem Einstieg mit der Route auseinander: in Paaren Schlüsselstellen, Pausenstellen und Clipp-Positionen identifizieren, Beta überlegen. Nach dem Onsight besprechen.","Neue Routen onsighten – vorher Schlüsselstellen, Pausen und Clips in Paaren analysieren.",,false
freies-klettern-bouldern-mit-technikaufgabe,Freies Klettern / Bouldern mit Technikaufgabe,Kletterhalle / Boulderhalle,lila,,,,"Freies Klettern/Bouldern mit Zusatzaufgabe. Routen/Boulder nicht zu schwer – Fokus auf der Aufgabe. Aufgaben regelmäßig wechseln; kann auch ins verlängerte Aufwärmen integriert werden. Beispiele: Füße leise setzen, nicht nachgreifen/-treten, Fußwechsel, 3 sek innehalten vor jedem Griff, nur eingedreht klettern.",Lockeres Klettern/Bouldern mit wechselnder Technikaufgabe als Fokus.,,false
flash-the-set,Flash the Set,Boulderhalle,gelb,fluessiger-klettern,Flüssiger Klettern,,Neues Boulderset wie Wettkampf behandeln – pro Boulder nur ein Versuch. Ziel: möglichst viele Boulder flashen. Gruppenarbeit ausdrücklich erlaubt: Kinder wechseln sich ab und lernen voneinander. Auf ausreichend Pause achten.,"Neues Boulderset wie im Wettkampf flashen – ein Versuch pro Boulder, voneinander lernen.",,false
schnell-klettern,Schnell Klettern,Kletterhalle,gelb,fluessiger-klettern,Flüssiger Klettern,,Schwierige Routen (Onsightniveau oder knapp darunter) so schnell wie möglich klettern. Bei Sturz direkt wieder an die Wand. Optional: Kinder stoppen sich gegenseitig (nur bei gleich starken Paaren sinnvoll).,"Schwierige Routen so schnell wie möglich klettern, bei Sturz direkt zurück an die Wand.",,false
schnell-bouldern,Schnell Bouldern,Boulderhalle,gelb,fluessiger-klettern,Flüssiger Klettern,,5 vorher bestimmte Boulder (ca. Flashniveau) so schnell wie möglich klettern. Optional gegenseitiges Stoppen – nur bei ähnlich starken Paaren sinnvoll.,"Fünf festgelegte Boulder so schnell wie möglich klettern, optional gegenseitig stoppen.",,false
dauerklettern,Dauerklettern,Boulderhalle,grün,,,,Kinder bouldern 5–10 Minuten am Stück ohne Bodenkontakt. Immer in Bewegung bleiben – Pausenpositionen sind verboten. Nicht an einer Platte durchführen.,"5–10 Minuten ohne Bodenkontakt durchbouldern, immer in Bewegung bleiben.",,false
von-insel-zu-insel,Von Insel zu Insel,Kletterhalle,grün|gelb,fluessiger-klettern,Flüssiger Klettern,,"Jedes Kind wählt eine schwierige, machbare Route. 3–5 Atempositionen definieren. Zwischen diesen muss die Luft angehalten werden; an den Positionen das weitere Vorgehen planen. Danach Route wiederholen – ohne Luftanhalten, aber gleicher Rhythmus.","An definierten Atempositionen planen, dazwischen die Luft anhalten – dann mit gleichem Rhythmus wiederholen.",,false
routenlesen,Routenlesen,Boulderhalle,grün,fluessiger-klettern,Flüssiger Klettern,,Boulder 2–3-mal klettern und Bewegungen bewusst einprägen. Zwischen Versuchen den Boulder immer im Geiste durchgehen. Dann den Boulder blind klettern. Ein anderes Kind kontrolliert. Mehrfach wiederholbar.,"Boulder einprägen, im Geiste durchgehen und dann blind klettern; Partner kontrolliert.",,false
krafttraining,Krafttraining,Kletterhalle / Boulderhalle,rot,,,20–30 min,"Zirkeltraining mit so vielen Stationen, dass immer 2 Kinder pro Station sind – gegenseitig anfeuern, kontrollieren und Hilfestellungen geben. Für Kinder: mehr Wiederholungen, 1–3 Sets à 8–15 WH. Inspiration: DAV-Trainingsskript S. 64–66 „Balance of Power"" (ggf. leichter anpassen).","Zirkeltraining an mehreren Stationen zu zweit, je 1–3 Sätze à 8–15 Wiederholungen.",,false
boulder-verbinden,Boulder verbinden,Boulderhalle,gelb,,,,"4–5 mittelschwere Boulder ohne Bodenkontakt hintereinander klettern. Zum Abklettern zur nächsten Startposition alle Griffe erlaubt. Herausforderung: mehrere gleichwertige Sets finden, damit viele Kinder gleichzeitig an der Wand sein können.",4–5 mittelschwere Boulder ohne Bodenkontakt zu einem langen Block verbinden.,,false
boulder-shootout,Boulder Shootout,Boulderhalle,rot,,,,"Gruppen ähnlich starker Kletterer (2–3 pro Gruppe). Jedes Kind wählt 2–3 Boulder – macht 6 pro Gruppe. Gruppe geht von Boulder zu Boulder; 2 Versuche pro Kind. Wer am weitesten kommt: 1 Punkt (bei Gleichstand je 0,5). Kinder wählen taktisch nach ihren Stärken.",In Kleingruppen ausgewählte Boulder mit zwei Versuchen abarbeiten und Punkte sammeln.,,false
dyno-route,Dyno Route,Kletterhalle,gelb,dynamische-bewegungen,Dynamische Bewegungen,,Im Toprope eine einfache Route klettern und möglichst viele dynamische Züge / Sprünge einbauen. Idealerweise nur mit Sprüngen vorwärtsbewegen. Route sollte möglichst viele Henkel haben. Erst ab 3 m Höhe springen.,Im Toprope eine leichte Route mit möglichst vielen dynamischen Zügen und Sprüngen klettern.,,false
dynamisch-vs-statisch,Dynamisch vs. Statisch,Boulderhalle,gelb,dynamische-bewegungen,Dynamische Bewegungen,,"3–4 mittelschwere Boulder erst so statisch wie möglich, dann so dynamisch wie möglich klettern. Gerne in Gruppen; Kinder diskutieren ob es noch statischer oder dynamischer geht. Ggf. vorab Begriffe klären.","Boulder erst so statisch, dann so dynamisch wie möglich klettern und vergleichen.",,false
pausenpositionen-finden,Pausenpositionen finden,Boulderhalle,gelb,,,,"Wandteil vorgeben; alle Kinder suchen sich die beste Pausenposition. Dann Wettkampf: wer hält am längsten / schafft X Minuten? Keine zu einfachen Positionen – keine No-Hand-Rests, am besten überhängender Wandteil.",Beste Pausenposition an einem Wandteil suchen – wer hält am längsten?,,false
boulderwettkampf,Boulderwettkampf,Boulderhalle,rot,,,60–80 min,"Intensives Wettkampftraining das den Wettkampfgedanken und das Bewegungsrepertoire schult. Voraussetzung: 3–5 Kletterer auf ähnlichem Niveau.<br><br>Jeder definiert 10–15 min vom Boden aus 1–2 Boulder (4–8 Züge) ohne sie vorab zu probieren. Der Eröffner erklärt seinen Boulder und muss den ersten Versuch machen; alle anderen dürfen ebenfalls genau einen Versuch machen.<br><br><strong>Punkte bei geschafftem Boulder:</strong> Nur Eröffner: +5 | +1 Kletterer: 0/+5 | +2: -1/+4 | +3: -2/+3 | +4: -3/+2<br><strong>Punkte bei nicht geschafftem Boulder:</strong> Nur Eröffner: -5 | +1: -6/+10 | +2: -7/+9 | +3: -8/+8 | +4: -9/+9<br><br>Am besten schneidet ab, wer einen Boulder definiert, den man als Einziger klettern kann.","Wettkampftraining: jeder definiert Boulder, Punkte nach geschafften Begehungen.",Eröffner muss Start- und Endgriff klar definieren,false
